,city,lat,temp,humidity,cloudiness,wind
40,Sitka,37.17,59.09,56,44,10.65
41,Ostrovnoy,68.05,26.37,94,8,7.96
42,Merauke,-8.49,92.52,56,0,12.21
43,Tolmachevo,55.36,38.17,93,90,6.71
44,Bonavista,48.65,39.92,100,0,11.99
45,Oliver,49.18,46.4,81,75,2.24
46,Nunoa,-14.48,36.18,97,92,2.37
47,Mayumba,-3.44,76.23,100,92,3.71
48,Celestun,20.87,82.67,97,0,16.8
49,Klaksvik,62.23,42.8,100,92,8.05
50,Lompoc,34.64,60.24,77,1,5.82
51,Itarema,-2.92,77.18,88,0,12.66
52,Hermanus,-34.42,64.98,74,24,3.83
53,Tiarei,-17.53,84.2,62,40,9.17
54,Chokurdakh,70.62,10.76,86,64,11.21
55,Tadine,-21.55,76.73,92,76,18.48
56,Port Alfred,-33.59,68.0,73,0,7.52
57,Aksu,52.04,26.6,92,0,11.18
58,Barrow,-38.31,45.23,67,32,10.87
59,Beyneu,45.32,54.63,52,32,7.4
60,Ilulissat,69.22,12.2,43,68,16.11
61,Kaitangata,-46.28,66.42,62,92,11.54
62,Kulhudhuffushi,6.62,82.76,100,44,7.85
63,Fortuna,38.18,59.9,87,20,6.93
64,Rikitea,-23.12,74.07,100,32,4.94
65,Cherskiy,68.75,10.94,92,80,4.05
66,Tommot,58.97,25.7,74,92,4.72
67,Grand Baie,-20.02,71.6,73,75,14.99
68,Upernavik,72.79,16.7,100,20,8.3
69,Cayenne,4.94,78.8,83,0,4.7
70,Havelock,34.88,55.78,93,1,3.36
71,Henties Bay,-22.12,70.61,73,0,12.44
72,Florianopolis,-27.6,66.2,88,75,12.75
73,Grindavik,63.84,45.55,100,90,23.04
74,Atuona,-9.8,80.33,100,68,15.01
75,Shentala,54.44,43.2,89,80,9.86
76,Kavaratti,10.57,84.83,99,0,4.83
77,Puli,23.97,78.8,69,40,12.75
78,Fort Nelson,58.81,32.0,93,20,2.24
79,Port Elizabeth,39.31,54.34,50,20,6.93
80,Bluff,-23.58,92.07,40,0,4.38
81,Kaset Sombun,16.28,73.49,98,92,3.27
82,Saravan,39.72,50.0,66,40,9.17
83,Dalmatovo,56.26,37.94,66,56,11.88
84,Kavieng,-2.57,78.35,100,92,11.65
85,Kodiak,39.95,41.0,75,1,8.63
86,San Vicente,13.64,77.9,94,75,3.36
87,Lorengau,-2.02,84.2,100,88,9.08
88,Hilo,19.71,73.08,78,90,8.05
89,Hithadhoo,-0.6,82.85,100,88,7.29
90,Barranca,-10.75,61.61,99,88,12.44
91,Sindou,10.66,70.07,78,12,1.92
92,Yavoriv,49.95,44.6,93,75,17.9
93,Lebu,8.96,41.81,92,12,3.15
94,Faanui,-16.48,79.88,100,64,4.83
95,Boulsa,12.66,69.71,70,0,3.71
96,Cleveland,41.51,45.0,81,90,11.41
97,Severo-Kurilsk,50.68,45.86,89,48,4.94
98,Maragogi,-9.01,74.75,96,56,6.51
99,Tiksi,71.64,8.33,87,64,5.17
100,Mahebourg,-20.41,71.6,73,75,14.99
101,Avarua,-21.21,77.0,61,75,18.34
102,Saskylakh,71.97,7.79,75,64,3.83
103,Campo de Criptana,39.41,43.02,82,0,2.93
104,Bethel,60.79,39.2,86,1,9.17
105,Moron,10.49,77.0,88,75,1.81
106,Watertown,44.9,35.6,64,1,4.7
107,Kruisfontein,-34.0,64.8,61,0,13.22
108,Sorland,67.67,46.08,100,92,19.26
109,Kryry,50.01,46.44,87,40,16.11
110,Vestmannaeyjar,63.44,47.97,95,92,21.72
111,Bathsheba,13.22,78.8,88,20,10.29
112,Arroio Grande,-32.24,59.72,100,0,11.77
113,Port Blair,11.67,81.18,100,76,3.38
114,Ratnagiri,16.98,85.5,91,80,7.29
115,Ancud,-41.87,47.52,83,80,4.94
116,Coihaique,-45.58,45.12,66,0,4.7
117,Carora,10.17,68.63,99,92,3.49
118,Cape Town,-33.93,69.8,64,0,1.12
119,Castro,-42.48,42.57,91,20,2.04
120,Mar del Plata,-46.43,43.02,99,20,4.27
121,Cidreira,-30.17,61.97,80,12,10.65
122,Saint-Philippe,45.36,39.63,65,90,11.41
123,Tura,25.52,78.12,81,0,3.27
124,Thompson,55.74,28.4,79,75,3.36
125,Viedma,-40.81,47.88,71,64,10.98
126,Brae,60.4,46.65,87,68,4.7
127,Tucuman,-17.17,50.45,76,32,1.14
128,Port Moresby,-9.47,77.22,100,88,13.33
129,Belaya Gora,68.54,6.53,80,56,4.27
130,Beringovskiy,63.05,27.77,100,44,23.29
131,Salinopolis,-0.61,81.9,94,0,15.46
132,Shenjiamen,29.96,70.16,88,0,11.99
133,Douentza,15.01,70.25,66,0,2.71
134,Tuktoyaktuk,69.44,24.8,92,90,14.99
135,Yining,29.04,63.23,86,88,2.71
136,Kurumkan,54.33,26.24,85,80,1.03
137,Tateyama,36.66,64.4,82,75,2.24
138,Pontianak,-0.02,86.63,88,44,3.15
139,Meulaboh,4.14,82.35,100,0,3.38
140,Ugoofaaru,5.67,84.2,98,80,12.55
141,Carutapera,-1.2,79.43,88,32,9.64
142,Nikolskoye,59.7,37.4,86,75,13.42
143,Anloga,5.79,80.6,88,40,6.93
144,Huancavelica,-12.79,40.82,96,88,2.71
145,Oistins,13.07,78.8,88,20,10.29
146,Bonthe,7.53,78.12,94,24,3.71
147,Salalah,17.01,75.2,78,0,2.24
148,Muborak,39.25,42.71,76,20,2.71
149,Talnakh,69.49,25.79,78,36,10.42
150,Ponta do Sol,-20.63,66.2,75,44,3.38
151,Opuwo,-18.06,60.62,99,100,3.71
152,Qaanaaq,77.48,2.03,100,20,13.22
153,Georgetown,6.8,77.0,94,40,4.7
154,Clyde River,70.47,14.0,92,90,29.97
155,Saldanha,41.42,41.4,94,0,4.16
156,East London,-33.02,70.16,99,0,11.99
157,Berlevag,70.86,35.87,100,88,2.59
158,Ojinaga,29.56,56.57,98,100,3.83
159,Cadillac,44.25,37.83,100,75,4.7
160,Xichang,27.88,61.7,58,8,1.81
161,Nanortalik,60.14,31.5,92,48,2.15
162,Dalbandin,28.9,63.27,50,80,4.16
163,Sacramento,38.58,61.63,51,1,3.36
164,Dikson,73.51,21.2,100,76,15.68
165,Norman Wells,65.28,32.0,95,75,10.29
166,Iqaluit,63.75,17.6,85,75,3.36
167,Alabaster,33.24,51.8,93,1,4.16
168,Sambava,-14.27,73.31,100,88,24.07
169,Mmathubudukwane,-24.61,48.2,61,0,5.82
170,Perelyub,51.87,46.94,95,92,10.42
171,Chuy,-33.69,53.55,92,0,8.63
172,Yar-Sale,66.83,23.36,100,0,11.32
173,Yen Bai,21.7,69.71,100,92,3.71
174,Margate,-43.03,57.2,41,75,5.82
175,Hereford,52.06,48.47,94,0,10.42
176,Marawi,8.0,79.52,78,20,2.82
177,San Quintin,17.54,86.0,55,20,9.17
178,Tautira,-17.73,84.2,62,40,9.17
179,Thamaga,-24.68,48.2,61,0,5.82
180,Hojai,26.0,76.5,87,0,2.37
181,Tuatapere,-46.13,59.0,83,92,13.22
182,Turukhansk,65.8,21.47,86,32,12.44
183,Vallenar,-28.58,48.74,86,0,1.14
184,Coquimbo,-29.95,53.6,81,20,3.36
185,Talara,-4.58,66.29,87,8,7.29
186,Dedougou,12.47,71.33,66,8,2.71
187,Baghmara,23.8,78.26,60,8,5.17
188,Keti Bandar,24.14,81.77,100,0,3.94
189,Almeirim,39.21,60.8,93,0,2.24
190,Clinton,30.87,65.12,100,90,4.7
191,Novooleksiyivka,48.49,46.31,91,92,17.36
192,Narsaq,60.91,33.8,80,76,1.7
193,Goksun,38.02,50.0,98,92,1.25
194,Sutysky,49.05,43.38,91,92,22.17
195,Tapes,-30.67,61.65,78,68,11.1
196,Victoria,5.28,83.32,83,75,3.36
197,Souillac,45.6,43.79,87,0,4.61
198,Jiangyou,31.78,58.28,73,64,3.71
199,Kashan,33.99,48.42,68,0,4.5
200,Houma,35.63,63.23,48,0,2.71
201,Salinas,36.67,59.45,67,1,4.7
202,Cangzhou,38.3,66.65,36,0,6.17
203,Ilo,-17.65,54.5,100,24,2.71
204,Sokoto,13.06,68.09,62,0,2.71
205,Airai,-8.93,87.57,45,0,1.36
206,Innisfail,52.02,39.2,60,5,4.7
207,Borba,38.81,51.8,85,0,2.93
208,Clearlake,38.96,60.76,51,1,2.59
209,Saint George,39.45,53.6,87,40,5.82
210,Pathalgaon,22.56,74.3,69,0,4.16
211,Gamba,28.28,12.6,64,20,2.59
212,Mao,19.55,76.08,100,20,4.7
213,Valkeala,60.94,39.2,93,90,10.29
214,Caravelas,-17.73,76.64,100,8,11.21
215,Broome,52.47,53.19,87,0,17.22
216,Nuevo Laredo,27.49,57.92,93,90,4.7
217,Batagay-Alyta,67.8,-5.9,66,0,2.93
218,Namatanai,-3.66,82.58,100,68,9.75
219,Odienne,9.51,69.17,93,12,2.82
220,Padang,-0.92,76.95,100,80,4.72
221,Hovd,63.83,39.2,86,75,24.16
222,Marsala,37.8,69.1,72,40,11.41
223,Gat,14.69,76.82,86,0,7.52
224,Kahului,20.89,81.68,70,40,24.16
225,Jiexiu,37.02,55.76,63,12,3.94
226,Sioux Lookout,50.1,30.2,74,90,2.24
227,Santa Cruz de Tenerife,28.47,63.0,100,0,3.36
228,Csenger,47.84,48.2,93,88,16.11
229,Arraial do Cabo,-22.97,72.77,93,56,5.84
230,Mineiros,-17.57,69.44,94,36,1.7
231,Wukari,7.87,74.21,95,68,5.95
232,Ribeira Grande,38.52,67.77,100,56,19.93
233,Mecca,21.43,72.9,75,76,8.19
234,Sola,58.89,44.56,65,75,13.87
235,Nurota,40.56,50.0,57,0,11.41
236,Suoyarvi,62.08,36.0,100,68,4.94
237,Codrington,-28.95,85.55,59,20,3.6
238,Walla Walla,46.06,54.93,62,1,4.7
239,Barra,-11.09,78.93,63,0,13.22
240,Geraldton,49.72,30.2,86,90,5.82
241,Mahibadhoo,3.78,84.92,97,36,11.99
242,Zalantun,48.0,48.02,46,0,5.61
243,Sept-Iles,50.2,28.4,86,75,3.36
244,Peshkopi,41.68,44.6,93,0,1.12
245,Poronaysk,49.22,47.93,99,92,13.0
246,Dongsheng,29.72,69.35,70,48,4.38
247,Natal,-5.81,77.0,83,20,5.82
248,Kati,12.75,73.4,88,8,1.92
249,Nome,30.04,62.13,82,1,8.05
250,Husavik,50.56,31.95,90,0,9.19
251,Santa Rosa del Sur,7.96,74.66,100,12,1.92
252,Trelew,-43.25,47.52,64,80,13.44
253,Ramhormoz,31.28,69.8,68,0,11.41
254,Batticaloa,7.71,80.87,100,20,3.71
255,Pathein,16.78,85.05,87,8,4.83
256,Bumba,2.18,68.45,99,12,2.71
257,Chumikan,54.72,43.65,83,88,7.29
258,Fairbanks,64.84,45.86,65,40,8.05
259,Ponta Delgada,37.73,64.4,88,40,5.82
260,Cabra,37.47,55.27,93,0,1.12
261,Avera,33.19,59.85,100,1,3.49
262,Gimli,50.63,31.95,90,0,9.19
263,Ayan,40.67,40.5,95,92,2.82
264,Luderitz,-26.65,73.4,69,0,3.36
265,Longyearbyen,78.22,30.2,68,75,18.34
266,Port Macquarie,-31.43,73.4,64,90,17.22
267,Camargo,27.69,59.13,97,92,8.41
268,Conde,-11.81,75.92,100,92,6.73
269,Pangnirtung,66.15,5.18,100,32,4.38
270,Jiayuguan,39.77,41.99,54,24,2.71
271,Albany,42.65,44.62,87,90,8.05
272,Saint Albans,44.81,39.92,100,90,3.36
273,Gustavo Diaz Ordaz,24.01,59.0,100,90,3.36
274,Salta,-24.79,61.05,93,40,2.24
275,Jieshi,22.82,77.81,89,8,13.22
276,Moerai,-22.43,70.92,100,92,13.78
277,Tasiilaq,65.61,24.8,49,32,3.36
278,Quelimane,-17.88,73.35,60,92,9.19
279,Lata,30.78,46.13,64,0,2.15
280,Deputatskiy,69.3,5.54,79,36,3.49
281,Coahuayana,18.62,66.29,89,0,0.81
282,Khanpur,28.65,70.25,64,0,5.17
283,Boke,10.95,75.87,92,0,3.83
284,Mount Isa,-20.73,102.2,7,0,10.29
285,Poykovskiy,61.23,33.8,100,90,6.71
286,Kununurra,-15.77,100.4,27,12,8.05
287,Sao Filipe,14.9,79.38,96,36,13.11
288,Ibimirim,-8.54,72.95,59,0,8.19
289,Ouesso,1.61,69.3,100,76,2.37
290,Darhan,49.49,38.43,93,92,2.59
291,Zhaozhou,45.71,50.18,76,0,7.52
292,Zeya,53.74,37.04,86,8,3.04
293,Balkhash,46.84,35.42,100,0,13.11
294,Labuhan,-2.54,87.48,67,8,0.92
295,Christchurch,-43.53,68.0,64,0,10.29
296,Itapetininga,-23.59,65.57,93,56,13.11
297,The Valley,18.22,80.6,78,20,6.93
298,Marystown,47.17,39.38,100,8,7.74
299,Mango,44.69,57.2,54,0,8.05
300,Litovko,49.24,43.16,96,80,3.15
301,Dano,11.14,72.0,65,0,2.71
302,Port Lincoln,-34.72,61.43,83,0,16.46
303,Rio Gallegos,-51.62,42.8,87,40,7.96
304,Cabo San Lucas,22.89,79.2,78,20,12.75
305,Grand Gaube,-20.01,71.6,73,75,14.99
306,Benguela,-12.58,75.38,98,36,6.73
307,Lar,27.66,60.8,67,0,2.15
308,Constitucion,23.99,59.0,100,90,3.36
309,Saint-Augustin,44.83,44.6,81,0,3.36
310,Saint-Pierre,48.95,40.01,100,20,6.93
311,Almaznyy,48.03,42.26,94,12,9.19
312,Normandin,48.84,26.6,92,75,3.36
313,Fort-Shevchenko,44.51,50.9,100,44,1.7
314,Marathon,48.72,34.47,100,8,10.42
315,Tornio,61.12,38.57,93,90,10.29
316,Hinton,53.4,32.72,82,0,2.04
317,Kottapalli,18.49,79.25,64,0,4.16
318,Dunedin,-45.87,68.9,58,64,12.44
319,Rocha,-34.48,46.04,92,0,5.28
320,Yulara,-25.24,87.8,10,0,13.87
321,Davila,18.47,86.0,55,20,9.17
322,Aklavik,68.22,21.2,92,75,3.36
323,Safford,32.83,62.6,72,75,14.99
324,Hamilton,32.3,71.6,73,90,18.34
325,Vostok,46.45,40.46,98,92,5.61
326,Porto Novo,-23.68,68.0,94,75,2.93
327,Ketchikan,55.34,50.59,93,90,8.05
328,Finnsnes,69.23,26.2,100,48,1.92
329,Zhezkazgan,47.8,23.0,92,0,6.71
330,San Patricio,-26.98,69.26,98,92,3.27
331,Kolomak,49.84,46.53,93,92,18.59
332,Port Hedland,-20.31,98.33,20,0,11.21
333,Lewistown,40.39,38.86,74,1,6.96
334,Kysyl-Syr,63.9,19.76,88,80,3.6
335,Esperance,10.24,77.0,94,20,3.36
336,Matamoros,25.87,60.17,93,90,10.29
337,Isangel,-19.55,74.52,100,88,16.58
338,Soc Trang,9.6,78.48,100,92,5.28
339,Ulagan,50.63,5.99,77,32,2.93
340,Zhanaozen,43.35,42.98,82,0,2.93
341,Dongning,44.06,54.45,53,0,6.17
342,Nyurba,63.29,25.2,77,48,3.71
343,Kambileyevskoye,43.07,40.23,90,56,2.15
344,Tomatlan,19.93,71.73,96,92,7.85
345,Marzuq,14.4,48.02,88,8,2.26
346,Stillwater,36.12,56.08,93,1,4.38
347,Dir,6.33,61.25,97,56,3.49
348,Mandalgovi,45.76,38.07,76,56,7.07
349,Naze,5.43,77.0,100,75,3.04
350,Lavrentiya,65.58,38.52,100,44,28.32
351,Datong,40.09,51.71,51,0,4.05
352,Kuito,-12.38,59.0,99,92,6.17
353,Lakes Entrance,-37.88,56.97,82,12,7.18
354,Fatehabad,27.03,75.83,34,0,4.61
355,Champagnole,46.75,39.33,93,20,2.24
356,Touros,-5.2,77.54,91,80,13.78
357,Laguna,27.52,80.6,51,20,4.7
358,Velika Obarska,44.8,37.4,100,75,2.24
359,Agirish,61.92,38.7,97,56,6.17
360,Kholtoson,50.3,22.77,76,88,13.78
361,Madaoua,14.07,67.46,61,0,2.71
362,Portland,45.52,54.05,87,90,4.7
363,Kushima,31.5,70.63,68,20,4.7
364,Karangampel,-6.46,85.23,99,0,9.19
365,Biak,-0.91,89.69,60,0,5.39
366,Taoudenni,22.68,78.89,32,44,12.44
367,Goderich,43.74,44.06,82,92,19.04
368,Kanigoro,-8.13,79.43,90,36,7.52
369,Manzanillo,20.34,82.62,100,44,5.95
370,Maumere,-8.63,86.18,91,0,1.03
371,Teguise,29.06,69.8,88,0,5.82
372,Duluth,46.77,31.69,86,1,6.17
373,Dawei,14.07,81.63,83,20,0.58
374,Bosobolo,4.19,68.9,94,44,2.93
375,Komsomolskiy,67.55,25.65,94,88,5.95
376,Gravelbourg,49.88,47.66,53,0,10.98
377,Jacareacanga,-6.22,79.02,92,24,2.04
378,Pullman,46.73,57.2,47,90,4.7
379,Nipawin,53.36,35.6,59,1,5.82
380,Hammerfest,70.66,39.2,86,88,9.17
381,Chateaubelair,13.28,80.6,83,20,12.75
382,Namibe,-15.19,76.1,98,44,7.18
383,Nador,35.17,61.83,77,32,5.82
384,Hun,50.34,52.12,87,75,10.29
385,Segezha,63.74,33.8,94,88,3.49
386,Matara,-13.74,44.87,95,80,2.04
387,Ocala,29.19,70.27,88,1,4.7
388,Khatanga,71.98,7.52,76,36,3.15
389,Elizabeth City,36.3,54.61,71,1,6.93
390,Egvekinot,66.32,24.44,79,80,9.42
391,Strezhevoy,60.73,33.8,100,90,11.18
392,Nioro,13.79,77.22,79,8,3.71
393,Birjand,32.86,41.63,85,0,2.59
394,Cockburn Town,21.46,82.62,98,92,11.65
395,Banjar,-7.37,78.75,81,56,4.16
396,Gemena,3.25,71.06,98,88,2.37
397,Anantapur,14.68,74.07,76,0,4.38
398,Asyut,27.18,69.8,56,0,5.82
399,Warri,5.52,74.84,98,68,3.15
400,Aksarka,66.56,9.63,61,8,4.61
401,Belyy Yar,53.6,32.0,70,0,6.71
402,Cooma,-36.24,57.29,73,12,4.05
403,Lufilufi,-13.87,86.0,74,75,10.29
404,Mount Gambier,-37.83,59.99,68,32,3.38
405,Altay,47.83,11.21,63,12,3.04
406,Raudeberg,61.99,39.2,80,92,10.29
407,Livingston,32.58,57.2,93,90,4.05
408,Hasaki,35.73,65.53,82,75,10.29
409,Krasnyy Chikoy,50.36,35.51,57,76,3.04
410,Baker City,44.77,51.55,71,1,3.36
411,San Cristobal,-0.39,53.6,66,75,13.87
412,Thinadhoo,0.53,81.59,100,56,7.52
413,Keetmanshoop,-26.57,56.66,79,20,8.75
414,Sosnovo-Ozerskoye,52.53,33.53,69,8,4.27
415,Itoman,26.12,79.97,65,40,9.17
416,Chuka,-0.33,62.06,86,48,4.5
417,Tucumcari,35.17,60.8,82,92,11.41
418,Grass Valley,39.22,60.85,47,1,4.7
419,Soe,57.91,37.4,100,90,6.93
420,Buala,-8.15,84.74,93,36,2.59
421,Aasiaat,68.71,20.97,100,76,13.67
422,Quatre Cocos,-20.21,71.6,73,75,14.99
423,Matagami,9.67,63.32,91,36,3.15
424,Kondopoga,62.21,33.8,100,48,3.15
425,Redkino,56.65,35.73,95,64,9.98
426,Oussouye,12.49,82.49,98,8,12.33
427,Faya,18.39,57.2,76,0,5.39
428,Lagoa,37.14,68.0,82,0,6.93
429,Vardo,39.62,50.77,57,1,3.36
430,Chapais,49.78,28.4,79,90,9.17
431,Tigil,57.8,38.93,77,64,10.54
432,Hokitika,-42.72,55.94,100,92,6.85
433,Cordoba,5.59,55.58,92,68,2.26
434,Kirkwood,-33.4,64.4,59,0,10.29
435,Ribeira do Pombal,-10.84,68.9,95,0,6.73
436,Aykhal,65.95,19.13,90,68,3.94
437,Sokur,55.21,32.0,89,90,15.66
438,Sukumo,32.94,70.2,80,0,9.64
439,Jian,25.65,78.03,64,0,4.16
440,Anadyr,64.73,24.8,100,90,13.42
441,Gadsden,34.01,48.22,100,1,4.16
442,Caorle,45.6,48.94,93,12,3.36
443,Mucuri,-18.08,69.8,96,8,5.84
444,Usinsk,66.0,29.07,97,68,5.73
445,Kodinsk,58.6,31.05,76,88,6.96
446,Khash,28.22,49.77,88,32,2.15
447,Hualmay,-11.1,59.54,99,76,5.17
448,Luebo,-5.35,70.88,91,92,2.15
449,Tabou,4.42,78.75,100,76,8.19
450,Kaeo,-35.1,69.44,57,44,7.96
451,Bull Savanna,17.89,71.55,94,20,2.59
452,Guspini,39.54,52.77,87,0,5.82
453,Paracuru,-3.41,80.6,83,40,8.05
454,Buraydah,26.33,71.6,56,40,4.7
455,Chara,39.42,53.6,87,40,5.82
456,Skaudvile,55.42,42.8,91,64,22.73
457,Coronel Bogado,-27.16,71.6,78,0,5.82
458,Lhokseumawe,5.18,81.5,100,44,0.69
459,Puerto del Rosario,28.5,69.01,82,0,6.93
460,Taki,34.48,69.8,68,20,14.99
461,Birin,35.01,51.8,88,76,1.14
462,Gravdal,59.79,42.8,81,92,19.46
463,Chipinge,-20.19,56.48,98,12,4.61
464,Baoding,38.86,70.61,40,0,3.83
465,Murgab,37.5,50.0,61,0,5.39
466,Rosario Oeste,-14.84,75.29,82,68,3.6
467,Ukiah,39.15,62.6,51,1,2.15
468,Hofn,64.25,39.47,100,92,7.85
469,Axim,4.87,80.96,100,68,7.63
470,Torbay,47.66,33.8,86,20,8.05
471,Mbandaka,0.05,73.04,100,92,2.71
472,Svarstad,59.4,39.2,51,0,11.41
473,Hambantota,6.12,80.73,100,36,4.94
474,Port Keats,-14.25,92.97,70,0,8.86
475,San Matias,13.97,68.0,77,40,2.93
476,Muros,42.77,51.8,93,0,5.82
477,Ixtapa,20.71,75.2,100,90,9.17
478,Qitaihe,45.77,51.3,57,0,7.96
479,Xingyi,24.19,63.72,89,68,3.49
480,Qasigiannguit,68.82,14.0,51,68,19.46
481,Dovolnoye,54.5,32.36,89,80,13.67
482,Botwood,49.14,33.8,86,20,9.17
483,Katsuura,33.93,68.0,82,75,11.41
484,Solnechnyy,50.72,47.75,85,92,4.16
485,Tilichiki,60.47,25.61,69,0,12.21
486,Kamenka,53.19,38.75,99,88,12.88
487,Saint-Marc-des-Carrieres,46.68,36.61,69,90,13.87
488,Sungai Besar,3.68,75.2,94,75,2.24
489,Karaton,-6.34,91.4,49,20,6.93
490,Isiolo,0.35,64.17,76,24,4.61
491,Maneromango,-7.2,77.0,78,75,12.75
492,Vila Velha,-3.71,80.6,83,40,8.05
493,Kirakira,-10.46,83.57,100,32,3.94
494,Ust-Maya,60.42,27.27,88,92,6.4
495,Rawson,-43.3,47.52,64,80,13.44
496,Riachao do Jacuipe,-11.81,72.27,97,80,3.49
497,Niksar,40.59,46.76,86,48,2.71
498,Mlonggo,-6.53,86.36,79,8,5.61
499,Tatarsk,55.22,31.46,87,0,13.0
500,Mwense,-10.39,66.47,44,20,11.21
501,Dingle,11.0,84.78,73,20,10.65
502,Bom Jesus,-9.08,73.76,63,0,4.16
503,Stokmarknes,68.56,37.4,86,75,9.17
504,Vargem Grande,-23.71,65.66,94,75,7.74
505,Liverpool,53.41,52.63,81,90,14.99
506,Guymon,36.68,55.4,71,75,8.05
507,Harper,30.3,59.67,62,90,4.94
508,Urzhum,57.11,41.85,99,88,6.17
509,Madison,43.07,35.35,91,1,6.4
510,Moree,-29.46,87.75,56,0,7.74
511,Sobolevo,54.43,36.72,97,92,14.79
512,Uruzgan,32.93,29.57,67,0,1.7
513,Krusevac,43.38,48.02,50,0,8.05
514,Balaipungut,1.11,81.77,93,44,3.6
515,Clemson,34.69,51.51,100,1,3.36
516,Waitati,-45.75,68.9,58,64,12.44
517,Deoband,29.69,67.23,75,0,4.5
518,Hirara,24.8,79.72,74,40,6.93
519,Leh,34.16,3.78,81,48,1.81
520,Baruun-Urt,46.68,41.45,52,32,5.39
521,Kiruna,67.86,19.58,100,12,2.04
522,Leningradskiy,69.38,26.69,100,92,11.65
523,Nhulunbuy,-12.18,87.8,58,40,10.29
524,Pevek,69.7,23.0,100,88,14.12
525,Llata,-9.55,44.55,96,92,1.92
526,Varhaug,58.61,46.4,65,75,13.87
527,Kumla,59.13,38.57,67,0,10.98
528,Raduzhnyy,62.1,35.33,97,88,10.76
529,Morondava,-20.3,72.05,75,0,12.21
530,Uray,60.13,44.37,95,68,10.54
531,Adre,13.47,64.53,89,48,2.82
532,Brigantine,39.41,51.49,62,40,4.7
533,Itaueira,-7.6,73.04,50,0,6.4
534,Otane,-39.89,65.75,79,100,1.59
535,Chimoio,-19.11,57.2,100,75,2.24
536,Bijar,35.87,40.01,85,32,6.06
537,La Asuncion,-1.64,47.07,100,56,1.36
538,Sapa,14.32,86.0,66,40,8.05
539,Bom Jardim,-7.8,72.59,95,92,4.94
540,Oktyabrskiy,55.61,37.98,86,90,6.71
541,Oga,8.18,74.03,93,44,8.63
542,Hegang,47.34,50.72,74,8,7.4
543,Guerrero Negro,27.97,63.0,100,0,7.74
544,Yeppoon,-23.13,91.4,36,0,5.82
545,Mombetsu,44.35,51.8,71,75,8.05
546,Mirganj,26.37,76.91,42,0,4.5
547,Yangliuqing,39.14,62.6,33,0,2.24
548,Fairlie,33.31,57.56,67,90,6.4
549,El Alto,-16.5,46.4,87,75,6.93
550,Poum,41.28,34.79,99,0,2.04
551,Troitskoye,52.98,32.4,68,92,10.65
552,Svetlaya,46.54,53.87,92,8,15.79
553,Minab,27.15,78.8,83,44,6.93
554,Saint Anthony,43.97,47.07,93,90,4.7
555,Mancora,-4.1,68.13,93,8,8.3
